image_url,source_url,source_name,caption,categories,weather,occasion,colors,gender
"https://yowfgdlcqtgpraizmoom.supabase.co/storage/v1/object/public/inspiration-looks/men/8f8ca9f67e7765e501e067d40c3c8c33.jpg","","Curated","Red graphic tee with long denim shorts and white sneakers.","{graphic tee,shorts,sneakers,socks}","{hot,warm}","{casual,daytime}","{red,blue,white}","men"
"https://yowfgdlcqtgpraizmoom.supabase.co/storage/v1/object/public/inspiration-looks/men/6363fc71a6550240dc0ab705be4ea56d.jpg","","Curated","Navy sweater with gray long shorts, beret, and clogs.","{sweater,shorts,beret,clogs,socks}","{cool}","{casual,streetwear}","{navy,gray,beige,white}","men"
"https://yowfgdlcqtgpraizmoom.supabase.co/storage/v1/object/public/inspiration-looks/men/ee82cf59bcf14627f39e28399ebf3c23.jpg","","Curated","Black plaid button-up with oversized dark trousers and white sneakers.","{button-up,trousers,sneakers,t-shirt}","{cool,night}","{casual,streetwear}","{black,white,charcoal}","men"
"https://yowfgdlcqtgpraizmoom.supabase.co/storage/v1/object/public/inspiration-looks/men/cf24d628b933c996abf41d823d55cb0c.jpg","","Curated","Light blue tee with light-wash wide-leg jeans and flip-flops.","{t-shirt,jeans,flip-flops}","{hot,sunny}","{casual,vacation}","{blue,light blue,green}","men"
"https://yowfgdlcqtgpraizmoom.supabase.co/storage/v1/object/public/inspiration-looks/men/70ac4ac43ed68fd3ca6f68a9f12319f7.jpg","","Curated","Football jersey with dark long shorts, socks, and clogs.","{jersey,shorts,socks,clogs}","{warm}","{casual,streetwear}","{brown,white,black,beige}","men"
"https://yowfgdlcqtgpraizmoom.supabase.co/storage/v1/object/public/inspiration-looks/men/d0bad968937e1c2352c80a68edc77ed8.jpg","","Curated","White linen button-up with light jeans, cap, and white sneakers.","{button-up,jeans,cap,sneakers,sunglasses}","{warm,sunny}","{casual,daytime}","{white,blue,green}","men"
"https://yowfgdlcqtgpraizmoom.supabase.co/storage/v1/object/public/inspiration-looks/men/6e43fb72c24fa546d03bc684143d0a7f.jpg","","Curated","White graphic tee with blue jeans and brown loafers.","{graphic tee,jeans,loafers,belt}","{warm,sunny}","{casual,daytime}","{white,blue,brown,red}","men"
"https://yowfgdlcqtgpraizmoom.supabase.co/storage/v1/object/public/inspiration-looks/men/0632f5e761e4556be904c62ba269f2a6.jpg","","Curated","Brown jacket over cream knit sweater with light-wash jeans and red sneakers.","{jacket,sweater,jeans,cap,sneakers}","{cool,cold}","{casual,streetwear}","{brown,cream,blue,red}","men"
"https://yowfgdlcqtgpraizmoom.supabase.co/storage/v1/object/public/inspiration-looks/men/2657ff1a7b7e36a49c85ab7a65416f86.jpg","","Curated","Blue sweater layered over collared shirt with jeans and brown boots.","{sweater,collared shirt,jeans,boots,handbag}","{cool}","{smart casual,daytime}","{blue,light blue,brown}","men"
"https://yowfgdlcqtgpraizmoom.supabase.co/storage/v1/object/public/inspiration-looks/men/32b4cee358337a8df6b80bf8f92799cd.jpg","","Curated","Blue plaid overshirt with gray tank, wide-leg jeans, and white sneakers.","{overshirt,tank top,jeans,sneakers}","{warm,cool}","{casual,streetwear}","{blue,gray,white}","men"
"https://yowfgdlcqtgpraizmoom.supabase.co/storage/v1/object/public/inspiration-looks/men/fbfb5d609c0e2d23e9a5944de78d804b.jpg","","Curated","Light blue knit sweater with dark jeans and brown shoes.","{sweater,jeans,shoes}","{cool,cold}","{smart casual,daytime}","{light blue,navy,brown}","men"
"https://yowfgdlcqtgpraizmoom.supabase.co/storage/v1/object/public/inspiration-looks/men/206939ca0430860279bfbd204dc2773f.jpg","","Curated","White button-up with denim shorts, cap, and yellow sneakers.","{button-up,shorts,cap,sneakers,socks}","{hot,sunny}","{casual,daytime}","{white,blue,yellow,black}","men"
"https://yowfgdlcqtgpraizmoom.supabase.co/storage/v1/object/public/inspiration-looks/men/fccc04c3cf08ff42cdbb4f9bec0cb781.jpg","","Curated","Short-sleeve patterned button-up with dark long shorts and clogs.","{button-up,shorts,clogs,socks}","{warm}","{casual,daytime}","{beige,brown,charcoal,white}","men"
"https://yowfgdlcqtgpraizmoom.supabase.co/storage/v1/object/public/inspiration-looks/men/6e15ae3a9b315a85add5516669559021.jpg","","Curated","Black cardigan over white polo with light-wash jeans and belt.","{cardigan,polo,jeans,belt,sunglasses}","{cool}","{smart casual,daytime}","{black,white,blue}","men"
"https://yowfgdlcqtgpraizmoom.supabase.co/storage/v1/object/public/inspiration-looks/men/3c254d1649af77de8dc99da5ce1a8dfe.jpg","","Curated","Taupe knit sweater with dark wide-leg trousers, cap, and boots.","{sweater,trousers,cap,boots}","{cool,cold}","{casual,daytime}","{taupe,black,blue,brown}","men"
"https://yowfgdlcqtgpraizmoom.supabase.co/storage/v1/object/public/inspiration-looks/men/266c5724c0dfda43877bb88e20b1845d.jpg","","Curated","Fitted black tee with pleated black trousers and black loafers.","{t-shirt,trousers,loafers,belt}","{warm}","{smart casual,night out}","{black}","men"
"https://yowfgdlcqtgpraizmoom.supabase.co/storage/v1/object/public/inspiration-looks/men/bb6379b8891dbdb667934754d800a914.jpg","","Curated","Yellow graphic tee with cream baggy jeans, green cap, and black shoes.","{graphic tee,jeans,cap,shoes,handbag}","{warm,sunny}","{casual,streetwear}","{yellow,cream,green,black}","men"
"https://yowfgdlcqtgpraizmoom.supabase.co/storage/v1/object/public/inspiration-looks/men/c0c3ed7769d8bd9c337265fd01d2edad.jpg","","Curated","Pale yellow graphic tee with light-wash wide-leg jeans and suede clogs.","{graphic tee,jeans,clogs}","{warm,sunny}","{casual,daytime}","{yellow,blue,beige,green}","men"
"https://yowfgdlcqtgpraizmoom.supabase.co/storage/v1/object/public/inspiration-looks/men/download.png","","Curated","Green knit sweater with loose light-wash jeans and white sneakers.","{sweater,jeans,sneakers,handbag}","{cool,cold}","{casual,streetwear}","{green,blue,white}","men"
"https://yowfgdlcqtgpraizmoom.supabase.co/storage/v1/object/public/inspiration-looks/men/download (1).png","","Curated","White tee with denim shorts, green cap, and brown clogs.","{t-shirt,shorts,cap,clogs,socks}","{hot,warm}","{casual,daytime}","{white,blue,green,brown}","men"
